#SampleID	d__Bacteria;p__Acidobacteriota	d__Bacteria;p__Actinobacteriota	d__Bacteria;p__Proteobacteria	d__Bacteria;p__Bacteroidota	d__Bacteria;p__Cyanobacteria	d__Bacteria;p__Gemmatimonadota	d__Bacteria;p__Planctomycetota	d__Bacteria;p__Myxococcota	d__Bacteria;p__Verrucomicrobiota	d__Bacteria;p__Patescibacteria	d__Bacteria;p__Firmicutes	d__Bacteria;p__Chloroflexi	d__Bacteria;p__Fibrobacterota	d__Bacteria;p__Bdellovibrionota	d__Bacteria;p__Nitrospirota	d__Bacteria;p__Desulfobacterota	d__Bacteria;p__Armatimonadota	d__Bacteria;p__Elusimicrobiota	d__Bacteria;p__SAR324_clade(Marine_group_B)	d__Bacteria;p__Deinococcota	d__Bacteria;p__Dependentiae	d__Bacteria;p__RCP2-54	d__Bacteria;p__WPS-2	d__Bacteria;p__Latescibacterota	d__Bacteria;p__Abditibacteriota	d__Bacteria;p__Spirochaetota	d__Bacteria;p__Sumerlaeota	d__Bacteria;p__TX1A-33	d__Bacteria;p__FCPU426	d__Bacteria;p__Halanaerobiaeota	d__Bacteria;p__MBNT15	d__Bacteria;p__Methylomirabilota	d__Bacteria;p__WS2
SRR11143422	3794.0	5164.0	7666.0	4960.0	20.0	529.0	304.0	1056.0	1139.0	442.0	809.0	578.0	103.0	265.0	101.0	39.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR11143423	3183.0	1677.0	4535.0	2240.0	0.0	390.0	257.0	43.0	652.0	289.0	565.0	183.0	0.0	154.0	203.0	0.0	61.0	0.0	0.0	126.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR11143424	7236.0	2818.0	7993.0	2737.0	0.0	1408.0	448.0	433.0	1206.0	434.0	1579.0	1398.0	0.0	214.0	397.0	129.0	43.0	11.0	25.0	36.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR11143426	3483.0	1177.0	3194.0	971.0	0.0	563.0	78.0	43.0	590.0	320.0	562.0	566.0	0.0	4.0	170.0	0.0	0.0	0.0	22.0	77.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR11143427	4773.0	1215.0	4747.0	1861.0	0.0	673.0	339.0	33.0	687.0	357.0	686.0	475.0	0.0	113.0	366.0	243.0	0.0	0.0	0.0	45.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR11143428	4924.0	958.0	4626.0	1571.0	0.0	907.0	129.0	68.0	922.0	302.0	785.0	616.0	39.0	98.0	300.0	113.0	0.0	0.0	21.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR11143429	5098.0	1251.0	4492.0	2059.0	0.0	677.0	160.0	191.0	1211.0	267.0	924.0	702.0	31.0	166.0	333.0	0.0	77.0	15.0	36.0	65.0	0.0	0.0	0.0	0.0	0.0	0.0	41.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR11143430	4636.0	869.0	5970.0	1783.0	0.0	842.0	178.0	46.0	564.0	328.0	845.0	858.0	23.0	65.0	313.0	275.0	17.0	0.0	12.0	158.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR11143431	6728.0	6254.0	8906.0	3531.0	17.0	888.0	672.0	700.0	791.0	814.0	918.0	931.0	52.0	112.0	409.0	0.0	33.0	99.0	36.0	195.0	0.0	0.0	0.0	0.0	18.0	0.0	57.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR11143432	6618.0	6551.0	6450.0	2343.0	0.0	681.0	186.0	482.0	823.0	157.0	1221.0	820.0	43.0	69.0	235.0	0.0	24.0	22.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	40.0	0.0	0.0	0.0	0.0	0.0	0.0
